case,case_index,case_count,Vv,tip_deflection,case_dir,passed,vtail_input_vsp3_path,vtail_output_vsp3_path,vtail_vtail_name,vtail_wing_reference_source,vtail_vv_target,vtail_vv_actual,vtail_xcg,vtail_lv_original,vtail_lv_actual,vtail_wing_area,vtail_wing_span,vtail_wing_section_area,vtail_wing_section_span,vtail_vtail_area_scale_mode,vtail_area_ratio,vtail_span_scale,vtail_chord_scale,vtail_scale,vtail_area_before,vtail_area_target,vtail_area_after,vtail_span_before,vtail_span_after,vtail_aspect_ratio_before,vtail_aspect_ratio_after,vtail_x_ac_original,vtail_x_ac_target,vtail_x_ac_before_shift,vtail_x_ac_after,vtail_x_shift,vtail_x_location_original,vtail_x_location_before_shift,vtail_x_location_after,vsp3_path,wing_dihedral_update_count,stab_path,vspaero_passed,vspaero_wall_elapsed_s,vspaero_read_vsp3_elapsed_s,vspaero_compute_geometry_elapsed_s,vspaero_compute_geometry_analysis_duration_s,vspaero_vspaero_sweep_elapsed_s,vspaero_vspaero_sweep_analysis_duration_s,vspaero_result_extraction_elapsed_s,vspaero_total_elapsed_s,Gamma_eff_rad,Gamma_eff_deg,CL_alpha,Cl_beta,Cn_beta,CY_beta,CY_p,CY_r,Cl_p,Cl_r,Cn_p,Cn_r,Cl_delta_r,Cn_delta_r,CY_delta_r,spiral_margin,beta_per_delta_r_yaw_static,delta_r_per_beta_yaw_static,p_hat_per_delta_r_beta_only,control_column_delta_a,control_column_delta_e,control_column_delta_r,control_groups,Sref,Bref,Cref,Xcg,Ycg,Zcg,AoA_deg,Beta_deg,Mach,Rho,Vinf,turn_trim_mode,turn_trim_passed,coupled_gain_matrix_det,coupled_gain_solved,beta_per_delta_r_coupled,p_hat_per_delta_r_coupled,r_hat_per_delta_r_coupled,elapsed_s
vv_0p00100_wtip_0p00000,1,42,0.001,0.0,vv_gamma_cases\vv_0p00100_wtip_0p00000,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00100_wtip_0p00000\vv_0p00100_wtip_0p00000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_gamma_cases\vv_0p00100_wtip_0p00000\vv_0p00100_wtip_0p00000.vsp3,4,vv_gamma_cases\vv_0p00100_wtip_0p00000\vv_0p00100_wtip_0p00000.stab,True,233.64294360001804,0.15151489997515455,0.5859210999915376,0.586,232.9016285999678,232.901,0.001031499996315688,233.6420348000247,0.003034723539737731,0.17387685081597376,5.9954502,-0.003861,0.0026362,0.0060232,-0.0197273,0.0080914,-0.7711202,0.2224421,-0.0874566,-0.0071803,0.0021798,-0.0016397,0.0109201,-0.00055867872572,0.621993778924209,1.607733121912545,-0.00028752713315819106,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,0.0001586846304164249,True,-1.6889875784794346,-0.0517263446953692,-0.21843082000786332,234.05780020001112
vv_0p00100_wtip_0p25000,2,42,0.001,0.25,vv_gamma_cases\vv_0p00100_wtip_0p25000,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00100_wtip_0p25000\vv_0p00100_wtip_0p25000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_gamma_cases\vv_0p00100_wtip_0p25000\vv_0p00100_wtip_0p25000.vsp3,4,vv_gamma_cases\vv_0p00100_wtip_0p25000\vv_0p00100_wtip_0p25000.stab,True,242.2520772999851,0.1759654000052251,0.30334109999239445,0.303,241.76883620000444,241.768,0.0008003999828360975,242.25118830002612,0.02276741531739476,1.3044768081082232,6.0018476,-0.0289973,-0.0021807,0.0042676,-0.07366,0.0239148,-0.7722572,0.2231475,-0.0876362,-0.0071449,0.0022626,-0.0016428,0.011101,0.00069380056202,-0.7533360847434311,-1.3274287801314828,0.03121668849462419,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,0.00017860763187790526,True,-1.5064926909255758,0.02770992600927509,-0.11000629912701797,242.74524859996745
vv_0p00100_wtip_0p50000,3,42,0.001,0.5,vv_gamma_cases\vv_0p00100_wtip_0p50000,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00100_wtip_0p50000\vv_0p00100_wtip_0p50000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_gamma_cases\vv_0p00100_wtip_0p50000\vv_0p00100_wtip_0p50000.vsp3,4,vv_gamma_cases\vv_0p00100_wtip_0p50000\vv_0p00100_wtip_0p50000.stab,True,221.50187160004862,0.16975989995989949,0.2938138999743387,0.294,221.03452970000217,221.034,0.0008170999935828149,221.50094560004072,0.04747513526233292,2.7201248823443867,5.9948266,-0.0603951,-0.0049699,-0.0026334,-0.1276736,0.0398282,-0.7732528,0.2236541,-0.0877141,-0.0071632,0.0021728,-0.0016496,0.0112417,0.00154416069191,-0.33191814724642343,-3.012790979631426,0.02873449626663165,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,0.00018883183474519355,True,-1.4273316386490555,0.07356539007872036,-0.14080668848865657,221.98158650001278
vv_0p00100_wtip_0p75000,4,42,0.001,0.75,vv_gamma_cases\vv_0p00100_wtip_0p75000,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00100_wtip_0p75000\vv_0p00100_wtip_0p75000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_gamma_cases\vv_0p00100_wtip_0p75000\vv_0p00100_wtip_0p75000.vsp3,4,vv_gamma_cases\vv_0p00100_wtip_0p75000\vv_0p00100_wtip_0p75000.stab,True,224.75691200001165,0.18628260004334152,0.29873029998270795,0.299,224.2678292999626,224.267,0.0007836000295355916,224.7559352000244,0.06791717319711234,3.891367380653573,5.994461,-0.086395,-0.0080156,-0.013065,-0.1817069,0.0557788,-0.7741384,0.2240119,-0.0876908,-0.0071699,0.002263,-0.0016382,0.0114073,0.00241503329614,-0.20437646589151157,-4.892931266023684,0.02573196830269257,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,0.00018613006425602767,True,-1.4469732760872067,0.12477983592464725,-0.13694537501170817,225.23264939995715
vv_0p00100_wtip_1p00000,5,42,0.001,1.0,vv_gamma_cases\vv_0p00100_wtip_1p00000,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00100_wtip_1p00000\vv_0p00100_wtip_1p00000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_gamma_cases\vv_0p00100_wtip_1p00000\vv_0p00100_wtip_1p00000.vsp3,4,vv_gamma_cases\vv_0p00100_wtip_1p00000\vv_0p00100_wtip_1p00000.stab,True,206.01177949999692,0.16022880002856255,0.28773219999857247,0.288,205.56022620003205,205.56,0.0007512000156566501,206.01099550002255,0.08988512595955475,5.150038358484281,5.980424,-0.1140719,-0.0112541,-0.0278216,-0.2357376,0.0717068,-0.7748821,0.2242417,-0.087627,-0.0071932,0.0022914,-0.0016397,0.0115552,0.0033441805070499996,-0.1456980122799691,-6.863511617978898,0.024405582587337358,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,0.00017802961362097634,True,-1.509572396638354,0.18621817834113438,-0.13464961414820675,206.47571430000244
vv_0p00100_wtip_1p25000,6,42,0.001,1.25,vv_gamma_cases\vv_0p00100_wtip_1p25000,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00100_wtip_1p25000\vv_0p00100_wtip_1p25000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_gamma_cases\vv_0p00100_wtip_1p25000\vv_0p00100_wtip_1p25000.vsp3,4,vv_gamma_cases\vv_0p00100_wtip_1p25000\vv_0p00100_wtip_1p25000.stab,True,200.53026410000166,0.16460519999964163,0.28000129997963086,0.28,200.08217890001833,200.082,0.0007636999944224954,200.5294365999871,0.11042314318359273,6.326780064988648,5.9702118,-0.1398971,-0.0145406,-0.0457865,-0.2896686,0.0875429,-0.7750701,0.224357,-0.0875803,-0.0071987,0.0023633,-0.001641,0.0117467,0.00426936264797,-0.11285641582878286,-8.860816575258989,0.023419282063442803,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,0.00016755275285480444,True,-1.6031328431358578,0.2573729654968602,-0.12103409104468969,200.98630910000065
vv_0p00100_wtip_1p50000,7,42,0.001,1.5,vv_gamma_cases\vv_0p00100_wtip_1p50000,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00100_wtip_1p50000\vv_0p00100_wtip_1p50000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_gamma_cases\vv_0p00100_wtip_1p50000\vv_0p00100_wtip_1p50000.vsp3,4,vv_gamma_cases\vv_0p00100_wtip_1p50000\vv_0p00100_wtip_1p50000.stab,True,209.83426539995708,0.15911659999983385,0.28265700000338256,0.282,209.3887663000496,209.389,0.0009418000117875636,209.83337080001365,0.1328232346592655,7.61021076725167,5.9558541,-0.1678715,-0.0175296,-0.0690252,-0.3435375,0.1033929,-0.7755973,0.2242981,-0.0874623,-0.0072095,0.0022635,-0.001634,0.0118636,0.00514212555301,-0.09321376414749909,-10.728029375764994,0.02309372970752592,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,0.0001387743783088152,True,-1.9302783907792387,0.3798419946394779,-0.14131998179522443,210.29941909998888
vv_0p00200_wtip_0p00000,8,42,0.002,0.0,vv_gamma_cases\vv_0p00200_wtip_0p00000,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00200_wtip_0p00000\vv_0p00200_wtip_0p00000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.002,0.0020000000000000005,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.5382059800664454,0.7336252313453003,0.7336252313453003,0.7336252313453003,0.4,0.21528239202657815,0.2152823920265782,0.8,0.5869001850762403,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.855065677052692,5.914999999999999,0.05993432294730727,5.6899999999999995,5.6899999999999995,5.749934322947307,vv_gamma_cases\vv_0p00200_wtip_0p00000\vv_0p00200_wtip_0p00000.vsp3,4,vv_gamma_cases\vv_0p00200_wtip_0p00000\vv_0p00200_wtip_0p00000.stab,True,225.04731090000132,0.15835630003130063,0.3100496000261046,0.309,224.5750459000119,224.575,0.00075559999095276,225.04651010001544,0.0016431929468009396,0.09414802077735865,6.0017831,-0.0020928,0.0051095,-0.0085799,-0.0194241,0.0131456,-0.7712014,0.2221065,-0.0875108,-0.0080516,0.0017819,-0.0034876,0.0216066,-0.0011180027732700002,0.6825716802035424,1.465047597201514,0.00045826419359459977,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,-0.00018755022013487328,True,2.8338344788800165,0.09389190529474567,0.3446919275634679,225.4992062000092
vv_0p00200_wtip_0p25000,9,42,0.002,0.25,vv_gamma_cases\vv_0p00200_wtip_0p25000,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00200_wtip_0p25000\vv_0p00200_wtip_0p25000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.002,0.0020000000000000005,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.5382059800664454,0.7336252313453003,0.7336252313453003,0.7336252313453003,0.4,0.21528239202657815,0.2152823920265782,0.8,0.5869001850762403,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.855065677052692,5.914999999999999,0.05993432294730727,5.6899999999999995,5.6899999999999995,5.749934322947307,vv_gamma_cases\vv_0p00200_wtip_0p25000\vv_0p00200_wtip_0p25000.vsp3,4,vv_gamma_cases\vv_0p00200_wtip_0p25000\vv_0p00200_wtip_0p25000.stab,True,236.91843379999045,0.1864140999969095,0.285054299980402,0.285,236.44299100001808,236.443,0.0010485000093467534,236.91759259998798,0.02230364574978074,1.277904769217333,6.0066166,-0.0284292,0.0002985,-0.0100688,-0.0733526,0.0289278,-0.7723234,0.2227821,-0.0876941,-0.0080176,0.0018137,-0.0034944,0.0217329,0.00016143349707,11.706532663316583,0.08542239010989011,-0.4285687296176186,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,-0.00016842904414424482,True,3.16173917004464,-0.04953033542258382,0.22362020178606232,237.36965090001468
vv_0p00200_wtip_0p50000,10,42,0.002,0.5,vv_gamma_cases\vv_0p00200_wtip_0p50000,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00200_wtip_0p50000\vv_0p00200_wtip_0p50000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.002,0.0020000000000000005,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.5382059800664454,0.7336252313453003,0.7336252313453003,0.7336252313453003,0.4,0.21528239202657815,0.2152823920265782,0.8,0.5869001850762403,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.855065677052692,5.914999999999999,0.05993432294730727,5.6899999999999995,5.6899999999999995,5.749934322947307,vv_gamma_cases\vv_0p00200_wtip_0p50000\vv_0p00200_wtip_0p50000.vsp3,4,vv_gamma_cases\vv_0p00200_wtip_0p50000\vv_0p00200_wtip_0p50000.stab,True,230.68795679998584,0.15573749999748543,0.31261810002615675,0.312,230.21615759999258,230.216,0.0007660000119358301,230.68717720004497,0.04476216273052041,2.564683006336608,5.9969306,-0.0569638,-0.0024244,-0.0163791,-0.1273785,0.044813,-0.773345,0.2232959,-0.0877697,-0.0080321,0.0017947,-0.0034906,0.0218599,0.00099889751794,-1.4397789143705657,-0.6945510800435456,0.10837333676744794,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,-0.00015547818161382784,True,3.432164983987057,-0.16247075890049686,0.30483547021211393,231.1553361999686
vv_0p00200_wtip_0p75000,11,42,0.002,0.75,vv_gamma_cases\vv_0p00200_wtip_0p75000,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00200_wtip_0p75000\vv_0p00200_wtip_0p75000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.002,0.0020000000000000005,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.5382059800664454,0.7336252313453003,0.7336252313453003,0.7336252313453003,0.4,0.21528239202657815,0.2152823920265782,0.8,0.5869001850762403,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.855065677052692,5.914999999999999,0.05993432294730727,5.6899999999999995,5.6899999999999995,5.749934322947307,vv_gamma_cases\vv_0p00200_wtip_0p75000\vv_0p00200_wtip_0p75000.vsp3,4,vv_gamma_cases\vv_0p00200_wtip_0p75000\vv_0p00200_wtip_0p75000.stab,True,227.30817400000524,0.17095850000623614,0.2927054999745451,0.293,226.8407430999796,226.84,0.0010513999732211232,227.30732530000387,0.06633495861236093,3.800713162663273,5.9923496,-0.0843526,-0.0056028,-0.0270033,-0.1814131,0.0607324,-0.7742056,0.2236594,-0.0877482,-0.0080408,0.0017698,-0.0034797,0.0219509,0.0019313812724,-0.621064467766117,-1.6101388050694023,0.06995325611657699,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,-0.00016159457688142342,True,3.2984581007732907,-0.27599060676939624,0.28074046287803966,227.8092411000398
vv_0p00200_wtip_1p00000,12,42,0.002,1.0,vv_gamma_cases\vv_0p00200_wtip_1p00000,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00200_wtip_1p00000\vv_0p00200_wtip_1p00000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.002,0.0020000000000000005,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.5382059800664454,0.7336252313453003,0.7336252313453003,0.7336252313453003,0.4,0.21528239202657815,0.2152823920265782,0.8,0.5869001850762403,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.855065677052692,5.914999999999999,0.05993432294730727,5.6899999999999995,5.6899999999999995,5.749934322947307,vv_gamma_cases\vv_0p00200_wtip_1p00000\vv_0p00200_wtip_1p00000.vsp3,4,vv_gamma_cases\vv_0p00200_wtip_1p00000\vv_0p00200_wtip_1p00000.stab,True,207.96935939998366,0.17638779996195808,0.29417609999654815,0.294,207.49469089997,207.494,0.0008554999949410558,207.96820440003648,0.08830787822188267,5.059668719869114,5.9817774,-0.1120956,-0.008809,-0.0415688,-0.2354386,0.0766263,-0.7749468,0.2239063,-0.0876834,-0.008063,0.0017506,-0.0034825,0.0220167,0.0028762174195,-0.3953343171756158,-2.5295046661880836,0.059443870836541235,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,-0.0001686162857774449,True,3.1522662718108423,-0.37989808505295847,0.25548085855771585,208.43177780002588
